,$R_X$(0.25$\pi$),$R_X$(0.33$\pi$),$R_X$(0.50$\pi$),$R_X$(0.67$\pi$),$R_X$(0.75$\pi$),$R_X$(1.00$\pi$)
0.1,0.9911 +/- 0.0001,0.9907 +/- 0.0001,0.9898 +/- 0.0001,0.9895 +/- 0.0001,0.9900 +/- 0.0001,0.9900 +/- 0.0001
0.2,0.9899 +/- 0.0001,0.9898 +/- 0.0001,0.9895 +/- 0.0001,0.9896 +/- 0.0001,0.9898 +/- 0.0001,0.9902 +/- 0.0001
0.30000000000000004,0.9895 +/- 0.0001,0.9892 +/- 0.0001,0.9894 +/- 0.0001,0.9895 +/- 0.0001,0.9898 +/- 0.0001,0.9901 +/- 0.0001
0.4,0.9888 +/- 0.0001,0.9886 +/- 0.0001,0.9891 +/- 0.0001,0.9892 +/- 0.0001,0.9895 +/- 0.0001,0.9897 +/- 0.0001
0.5,0.9882 +/- 0.0001,0.9882 +/- 0.0001,0.9883 +/- 0.0001,0.9888 +/- 0.0001,0.9885 +/- 0.0001,0.9887 +/- 0.0002
0.6000000000000001,0.9869 +/- 0.0002,0.9864 +/- 0.0002,0.9872 +/- 0.0002,0.9874 +/- 0.0002,0.9875 +/- 0.0002,0.9871 +/- 0.0002
0.7000000000000001,0.9851 +/- 0.0003,0.9847 +/- 0.0003,0.9853 +/- 0.0003,0.9851 +/- 0.0003,0.9854 +/- 0.0003,0.9840 +/- 0.0004
0.8,0.9813 +/- 0.0005,0.9821 +/- 0.0004,0.9818 +/- 0.0005,0.9824 +/- 0.0004,0.9807 +/- 0.0005,0.9804 +/- 0.0005
0.9,0.9760 +/- 0.0006,0.9771 +/- 0.0006,0.9773 +/- 0.0006,0.9784 +/- 0.0006,0.9776 +/- 0.0006,0.9744 +/- 0.0007
1.0,0.9711 +/- 0.0008,0.9693 +/- 0.0008,0.9709 +/- 0.0008,0.9711 +/- 0.0008,0.9710 +/- 0.0008,0.9705 +/- 0.0008
