0,1,2,3
2.968071,0.999574,0.96745706,0.07376516
3.3962626,0.9995596,1.9676807,0.16055992
2.9874673,0.99778545,-0.39822507,0.09369175
3.0129747,0.97248375,-1.8548061,0.04525683
3.289684,0.982486,-0.11563468,0.13742253
3.6255274,0.9897315,0.2956655,0.19503711
4.153575,0.99744993,1.2870905,0.13837007
2.1826363,0.99929476,1.6878884,0.064874254
4.632353,0.99916697,2.1404946,0.11913612
4.0590444,0.99876344,-2.9890127,0.20329064
4.009562,0.9993631,-1.5783519,0.15668882
3.0894184,0.99909663,-0.5360439,0.050975643
3.9510741,0.9994073,0.0927999,0.13401367
2.7376654,0.9988869,1.3569019,0.08493232
3.3650947,0.9974452,2.3813417,0.09793683
2.774761,0.99867743,-2.962591,0.08125615
3.1866207,0.9991804,-2.4313283,0.06875663
4.3622513,0.99985003,-1.8040177,0.09351474
3.0286992,0.99980253,-1.0024097,0.11870847
3.9256697,0.99987507,-0.30747724,0.083606824
2.610105,0.99964905,-0.01382637,0.08334836
3.1930275,0.999869,0.5275824,0.1322967
2.2886963,0.999866,0.94147706,0.12431171
2.918098,0.99976534,1.3877342,0.13011543
2.7473116,0.9996166,1.7517397,0.09449895
2.9487016,0.99964964,1.9008744,0.06625912
3.450898,0.99941194,2.2212622,0.100124605
3.3907125,0.9927745,-3.1373072,0.008168823
2.1845212,0.99973935,2.5103128,0.07345536
2.8621743,0.999666,2.732753,0.13444747
3.4228432,0.9884721,2.9520104,0.007796161
4.163936,0.99976915,-2.8187861,0.15205577
3.6825373,0.99992776,-2.062396,0.1310878
3.0392504,0.99994874,-1.5005422,0.10763322
2.2145286,0.9999387,-1.022361,0.06159774
3.453906,0.99997056,-0.48892665,0.15339176
3.190125,0.9999851,0.27912498,0.07538819
2.2185495,0.999972,0.7480407,0.066267595
3.9774113,0.9999794,1.2573807,0.08819633
4.1603384,0.9999522,2.2837603,0.10809017
2.9834404,0.9999908,-2.8565884,0.1374492
3.2117357,0.9921755,3.141349,0.004161483
3.3378024,0.9999107,-1.4900191,0.1388986
3.107996,0.9999856,-0.5180409,0.07773433
3.5539436,0.9999572,0.3759737,0.12419149
2.5570354,0.99995923,1.3288915,0.08568732
2.270046,0.99997115,1.9839213,0.087300844
3.0257707,0.999931,2.614679,0.08075212
1.9357628,0.9999758,-2.881039,0.11688986
2.823144,0.9999578,-2.2038233,0.065349646
2.8495882,0.99997866,-1.699211,0.067912444
2.3047495,0.9999956,-1.1957024,0.07053277
2.8887296,0.99999416,-0.7098801,0.056136213
2.977593,0.99999225,-0.09992218,0.12385286
2.092382,0.9999943,0.5686841,0.091106474
2.5975814,0.99998784,0.98363423,0.106545486
2.2754745,0.99998975,1.5707333,0.12432469
3.9030757,0.99970347,2.3004396,0.192134
3.114525,0.9987998,2.859307,0.09949822
3.0911598,0.9986313,-2.8863535,0.16011125
2.6985297,0.99757916,-2.4244697,0.06712483
3.0928326,0.9992512,-2.0365858,0.09321849
1.8529302,0.9995678,-1.4748945,0.13455562
1.356439,0.9997199,-1.0449195,0.084749594
2.892939,0.9995295,-0.52535176,0.104439415
1.4732566,0.99974066,0.085001945,0.099129155
1.8267465,0.9996137,0.8471477,0.117111765
1.4663817,0.99977297,1.7740042,0.12310492
3.3701541,0.99927765,2.4521096,0.0793965
2.8622713,0.99970716,-3.1191595,0.039052427
2.2100692,0.9994985,3.1063392,0.063181035
3.3411903,0.99882716,3.13528,0.031021567
3.5086868,0.99987936,-2.4374442,0.10121698
3.5882072,0.99968934,-1.858967,0.08410397
2.2540123,0.99985015,-1.4094995,0.1365026
3.1418965,0.999843,-0.9208689,0.21415748
2.4478736,0.99936384,-0.27550387,0.1041779
2.7830844,0.9993594,-0.10332513,0.18262775
2.4101207,0.9996082,0.2855091,0.11155319
2.9538813,0.9992428,0.60972404,0.07501413
2.7768197,0.9993524,1.0071466,0.13150321
2.5199695,0.99972993,1.4836109,0.109266184
2.7169437,0.9995988,1.8175356,0.09094499
2.9024243,0.9993839,2.0636122,0.09239702
3.8490012,0.9992974,2.4053228,0.06224173
4.2069106,0.9986137,2.7290633,0.06827703
3.0805264,0.999488,-2.6891658,0.19716655
1.813932,0.9995633,-1.7551492,0.15022756
2.833713,0.999678,-0.9675636,0.13953297
3.2021997,0.9982135,0.108187675,0.114025116
2.3468742,0.99827874,1.3384674,0.08129226
2.775641,0.9988238,2.5566642,0.1582185
3.4541538,0.9987973,-2.6439579,0.12190143
3.594388,0.9957321,-1.5779455,0.088372484
3.3453107,0.99944276,-1.5390595,0.13653646
3.2235374,0.99858487,-0.9149015,0.08633688
3.3825288,0.9989417,-0.08105254,0.13651785
3.5253408,0.99942076,1.2212298,0.06812283
3.116397,0.99689084,1.4617755,0.02966641
2.5940032,0.9852742,1.1944082,0.0059169265
